src_lang,tgt_lang,item_id,item_type,system,src,ref,mt,user_id,raw_score,z_score
en,mt,159,TGT,um-iwslt,"According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.","Skont il-pulizija, ix-xufier tal-vettura li tajjar lill-fotografu mhux mistenni jiffaċċja akkużi kriminali.","skond il-pulizija, mhux probabbli li s-sewwieq tal-vettura li jaffettwa lir-ritrattur jaffaċċja akkużi kriminali.",89899afd49,25,-0.9004738516707486
en,mt,60,TGT,google-translate,"In the case of travel disruption (cancellations, long delays), passengers should be informed of the nature of the disruption and the likely impact upon their schedule.","Fil-każ ta’ interruzzjoni fl-ivvjaġġar (kanċellazzjonijiet, dewmien twil), il- passiġġieri għandhom jiġu infurmati dwar in-natura tal-interruzzjoni u l-impatt li din jista’ jkollha fuq l-iskeda tagħhom.","Fil-każ ta' tfixkil tal-ivvjaġġar (kanċellazzjonijiet, dewmien twil), il-passiġġieri għandhom jiġu infurmati dwar in-natura tal-interruzzjoni u l-impatt probabbli fuq l-iskeda tagħhom.",89899afd49,96,0.961671103726042
en,mt,177,TGT,google-translate,"The great pyramid was created to honor the Pharaoh Khufu, and many of the smaller pyramids, tombs, and temples were built to honor Khufu's wives and family members.","Il-piramida l-kbira nħolqot biex tonora lill-Fargħun Khufu, u ħafna mill-piramidi iżgħar, l-kripti u t-tempji nbnew biex jonoraw lin-nisa u lill-familjari ta’ Khufu.","Il-piramida l-kbira nħolqot biex tonora lill-Pharaoh Khufu, u ħafna mill-piramidi iżgħar, oqbra, u tempji nbnew biex jonora lin-nisa u l-membri tal-familja ta 'Khufu.",89899afd49,77,0.4633506227043657
en,mt,16,TGT,um-iwslt,"If you get to your final destination with a delay of three hours or more, you may be entitled to identical compensation to that offered when your flight gets cancelled, unless the airline can prove that the delay was caused by extraordinary circumstances.","Fil-każ li tasal fid-destinazzjoni finali tiegħek wara dewmien ta’ tliet sigħat jew aktar, inti tista’ tkun intitolat għal kumpens identiku għal dak offrut lilek meta t-titjira tiegħek tiġi kkanċellata, sakemm il-linja tal-ajru ma tagħtix prova li d-dewmien kien ikkawżat minħabba ċirkustanzi straordinarji.","jekk tasal fid-destinazzjoni finali tiegħek b'dewmien ta' tliet sigħat jew aktar, tista' tkun intitolata għal kumpens identiku għal dak offrut meta t-titjira tiegħek tkun ġiet ikkanċellata, sakemm il-linja ta' l-ajru ma tkunx tista' turi li d-dewmien kien ikkawżat minn ċirkostanzi straordinarji.",89899afd49,99,1.040353284939991
en,mt,391,TGT,google-translate,Any amendments or requests though should be coursed through the travel agent first and not directly with the hotel.,Kwalunkwe emenda jew talba pero għandha tgħaddi għand l-aġent tal-ivvjaġġar l-ewwel u mhux direttament għand il-lukanda.,Kwalunkwe emenda jew talba madankollu għandha tiġi mgħoddija mill-aġent tal-ivvjaġġar l-ewwel u mhux direttament mal-lukanda.,89899afd49,76,0.4371232289663827
en,mt,198,TGT,um-iwslt,The Amazon River is the second longest and the biggest river on Earth. It carries more than 8 times as much water as the second biggest river.,Ix-Xmara tal-Amażonja hija t-tieni l-itwal u l-ikbar xmara fid-Dinja. Hija ġġorr iktar minn 8 darbiet l-ilma tat-tieni l-ikbar xmara.,ix-xmara Il-Baħar Baltiku huwa t-tieni l-itwal xmara u l-ikbar xmara fid-Dinja. Dan iġorr iktar minn 8 darbiet iktar ilma mit-tieni l-ikbar xmara.,89899afd49,1,-1.52993130138234
en,mt,153,TGT,um-iwslt,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","Huma sabu li x-Xemx taħdem fuq l-istess prinċipji bażiċi bħall-istilel l-oħra: L-attività tal-istilel kollha fis-sistema nstabet li kienet immexxija mil-luminożità tagħhom, ir-rotazzjoni tagħhom, u xejn iżjed.","huma sabu li s-Sun kien qed jaħdem fuq l-istess prinċipji bażiċi bħal stillti oħrajn. L-attività ta' l-stillti kollha fis-sistema nstabet li kienet immexxija mill-kurżità tagħhom, mir-rotazzjoni tagħhom, u minn xejn ieħor.",89899afd49,6,-1.398794332692425
en,mt,86,TGT,google-translate,But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?,"Imma l-immaġinazzjoni tagħna hija bbażata fuq ir-realtà? Imma, qabel xejn, għal liema raġuni nbnew il-kastelli? Kif ġew iddisinjati u mibnija?",Imma l-immaġinazzjoni tagħna hija bbażata fuq ir-realtà? Għaliex inbnew l-ewwel kastelli? Kif ġew iddisinjati u mibnija?,89899afd49,71,0.3059862602764679
en,mt,101,TGT,nllb,Asynchronous communication encourages time for reflection and reaction to others.,Komunikazzjoni mhux sinkronika tħeġġeġ ħin ta' riflessjoni u reazzjoni għall-oħrajn.,Il-komunikazzjoni mhux sinkronika tinkoraġġixxi ħin għar-riflessjoni u r-reazzjoni lejn l-oħrajn.,6b30bb2e20,97,0.9199617020021835
en,mt,102,TGT,um-iwslt,"Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.","L-istudenti jistgħu wkoll jibagħtu mistoqsijiet lill-għalliema fi kwalunkwe ħin tal-ġurnata u jistennew tweġibiet raġonevolment malajr, pjuttost milli jistennew sal-laqgħa wiċċ imb’ wiċċ li jmiss.","l-istudenti jistgħu wkoll jissottomettu mistoqsijiet lill-iżviluppaturi fi kwalunkwe ħin tal-ġurnata u jistennew rispons raġonevolment rapidu, aktar milli jistennew il-laqgħa li jmiss bejn il-wiċċ u l-ġenb.",4ea62f6070,39,-1.1654769501407096
